StreetName,Suburb,LATITUDE,LONGITUDE
Berry Street,East Melbourne,-37.81855137,144.9885558
Berry Street,East Melbourne,-37.81851353,144.9885623
Vale Street South,East Melbourne,-37.81923122,144.9884183
Vale Street South,East Melbourne,-37.81922735,144.9883759
Vale Street South,East Melbourne,-37.81922347,144.9883334
Vale Street South,East Melbourne,-37.81921563,144.9882475
Vale Street South,East Melbourne,-37.81920708,144.9881539
Vale Street South,East Melbourne,-37.81920181,144.9880961
Leonard Crescent,Flemington,-37.78538096,144.906781
Victoria Street,North Melbourne,-37.80492981,144.948712
Stubbs Street,Kensington,-37.79249159,144.9354669
Arden Street,North Melbourne,-37.80074276,144.9465854
Powlett Street,East Melbourne,-37.81093882,144.9868642
Royal Parade,Carlton North,-37.78373667,144.9607994
Alexandra Avenue,Melbourne,-37.82285493,144.975273
Little Elgin Street,Carlton,-37.79757443,144.9667976
Chetwynd Street,West Melbourne,-37.80589558,144.9523047
Chetwynd Street,West Melbourne,-37.80584433,144.9523139
Chetwynd Street,West Melbourne,-37.80579307,144.9523231
Chetwynd Street,West Melbourne,-37.80574181,144.9523324
Chetwynd Street,West Melbourne,-37.80569055,144.9523416
Chetwynd Street,West Melbourne,-37.8056393,144.9523508
Anderson Street,West Melbourne,-37.80573072,144.9416718
Anderson Street,West Melbourne,-37.80604887,144.941961
Anderson Street,West Melbourne,-37.80597538,144.9419742
Anderson Street,West Melbourne,-37.80592159,144.9419838
Anderson Street,West Melbourne,-37.80588751,144.9419899
Anderson Street,West Melbourne,-37.80584707,144.9419971
Hawke Street,West Melbourne,-37.80748995,144.9467589
Hawke Street,West Melbourne,-37.80751635,144.9467306
Princes Street,,-37.7924921,144.9717968
Hawke Street,West Melbourne,-37.80756714,144.9466737
Hawke Street,West Melbourne,-37.80759653,144.946642
Hawke Street,West Melbourne,-37.80762592,144.9466104
Hawke Street,West Melbourne,-37.80765531,144.9465788
Hawke Street,West Melbourne,-37.80768729,144.9465444
Hawke Street,West Melbourne,-37.80772183,144.9465072
Hawke Street,West Melbourne,-37.80775638,144.94647
